name,SpT
HD 120136,F7V
HD 197037,F7V
HD 136118,F7V
HD 9826,F9V
HD 10647,F9V
HD 23079,F9V
HD 155358,G0V
rho CrB,G0V
HD 39091,G0V
HD 187085,G0V
HD 106252,G0V
HD 209458,G0V
HD 114729 A,G0V
HD 13931,G0V
47 UMa,G1V
HD 10180,G1V
HD 117618,G2V
HD 121504,G2V
mu Ara,G3V
16 Cyg B,G3V
HD 1461,G3V
HD 38529,G4V
HD 147513,G5V
HD 222582,G5V
HD 28185,G5V
HD 4113,G5V
HD 65216,G5V
HD 178911 B,G5V
HD 79498,G5V
HIP 91258,G5V
HD 90156,G5V
HD 115617,G6.5V
HD 70642,G6V
HD 47186,G6V
HD 92788,G6V
HD 102117,G6V
HD 4208,G7V
HD 10700,G8V
HD 69830,G8V
55 Cnc,G8V
HD 1237,G8V
HD 154345,G8V
GJ 86,G9V
HD 147018,G9V
HD 164922,G9V
HD 189733,K0V+M4V
HD 7924,K0.5V
HD 3651,K0.5V
HD 128621,K1V
HD 114783,K1V
HD 97658,K1V
HD 40307,K2.5V
HD 192263,K2.5V
epsilon Eri,K2V
HD 192310,K2V
HD 99492,K2V
HD 128311,K3V
HD 104067,K3V
HD 156668,K3V
HAT P 11,K4V
WASP 69,K5V
HD 85512,K6V
GJ 832,M1.5V
GJ 667 C,M1.5V
GJ 3470,M2V
GJ 176,M2.5V
GJ 436,M3.5V
GJ 1214,M4.5V
GJ 876,M5V
GJ 581,M5V
Proxima Centauri,M5.5V
