name,age group,alternate name,Age flag,age,age -uncty,age +uncty,age reference,Teff,SpT,luminosity class,distance,Lbol,Flya,Fx,Rlya,Rx,references
SAO 93981,M,HD 28568,,1.16,0.82,0.82,S,6567,F2,V,45.21,34.144,122.6,84.3,2.47,1.70,"10, 23"
SAO 76609,M,HD 28033,,0.63,0.05,0.05,S,6376,F8,V,48.38,33.983,24.7,19.2,0.722,0.561,1
chi Her,O,HD 142373,,6.85,0.52,0.42,S,5890,F8,V,15.83,34.083,21.7,0.309,0.504,0.00717,1
V376 Peg,M,HD 209458,,3.83,0.7,0.98,S,6071,F9,V,48.36,33.814,15.7,0.308,0.677,0.0133,"1, 24"
HR 4657,M,HD 106516,,1.8,0.5,0.5,S,6258,F9,V,22.35,33.802,27.8,5.43,1.23,0.241,1
zeta Dor,M,HD 33262,,0.68,0.47,0.47,S,6147,F9,V,11.63,33.750,46.5,16.7,2.32,0.834,1
V993 Tau,M,HD 28205,,0.63,0.05,0.05,S,6197,G0,V,47.78,33.913,55.5,41.4,1.91,1.42,1
HR 6748,Y,HD 165185,,0.44,0.19,0.19,S,5932,G0,V,17.20,33.612,48.9,53.5,3.36,3.67,1
pi Men,M,HD 39091,,3,,,Y,5870,G0,V,18.28,33.695,5.39,0.952,0.306,0.048,"6, 17"
HR 4345,Y,HD 97334,,0.45,0.02,0.02,S,5906,G2,V,22.66,33.613,42.8,39.9,2.93,2.73,1
alpha Cen A,O,HD 128620,,5.3,0.3,0.3,S,5793,G2,V,1.324,33.771,7.54,0.117,0.360,0.00557,1
HR 2882,Y,HD 59967,,0.35,0.07,0.07,S,5830,G2,V,21.77,33.537,55.9,41.9,4.56,3.42,1
SAO 136111,M,HD 73350,,0.51,0.14,0.14,S,5836,G5,V,24.34,33.602,32.8,19.3,2.30,1.36,1
SAO 158720,M,HD 128987,,0.62,0.07,0.07,S,5574,G6,V,23.76,33.401,34.4,14.3,3.84,1.60,1
HR 2225,Y,HD 43162,,0.32,0.04,0.04,S,5651,G6.5,V,16.73,33.444,41.0,48.1,4.14,4.86,1
xi Boo A,Y,HD 131156A,,0.2,0.1,0.1,S,5483,G7,V,6.733,33.365,35.3,28.3,4.28,3.43,1
61 Vir,O,HD 115617,,9.41,3.15,1.31,S,5538,G7,V,8.506,33.499,5.26,0.265,0.468,0.0236,1
SAO 254993,Y,HD 203244,,0.33,0.08,0.08,S,5480,G8,V,20.81,33.371,43.8,20.2,5.24,2.42,1
HR 8,Y,HD 166,,0.3,0.1,0.1,S,5327,G8,V,13.78,33.368,37.9,33.0,4.56,3.94,1
tau Cet,O,HD 10700,,5.6,1.2,1.2,S,5290,G8.5,V,3.603,33.255,5.66,0.176,0.886,0.0276,1
SAO 28753,Y,HD 116956,,0.33,0.10,0.10,S,5308,G9,V,21.66,33.285,33.0,24.7,4.81,3.60,1
HR 1925,M,HD 37394,,0.5,0.1,0.1,S,5243,K0,V,12.28,33.274,29.3,14.4,4.38,2.15,1
40 Eri A,O,HD 26965,,11.76,5.19,1.92,S,5147,K0.5,V,5.036,33.195,7.33,1.15,1.31,0.206,1
alpha Cen B,O,HD 128621,,5.3,0.3,0.3,S,5232,K1,V,1.255,33.297,10.1,0.533,1.43,0.0756,1
DX Leo,Y,HD 82443,,0.25,0.05,0.05,S,5315,K1,V,18.08,33.256,31.1,59.7,4.85,9.30,1
70 Oph A,M,HD 165341,,1.3,0.3,0.3,S,5407,K1,V,5.122,33.308,23.6,6.62,3.26,0.915,1
GJ 3651,O,HD 97658,,9.7,2.8,2.8,S,5157,K1,V,21.57,33.101,18.01,0.321,4.01,0.0714,"5, 24"
Kepler-444,O,HIP 94931,,11.23,0.99,0.91,S,5053,K1,V,36.48,33.099,3.10,0.635,0.694,0.141,"10, 24"
EP Eri,Y,HD 17925,,0.2,0.1,0.1,S,5167,K1.5,V,10.36,33.185,27.6,32.9,5.07,6.04,1
