Mass,LogL,LogL_lb,LogL_ub
0.07,-3.587066057616246,-3.6286582454080953,-3.5496195817595764
0.07100000000000001,-3.5699332147608747,-3.609790210415014,-3.5342645083595223
0.07200000000000001,-3.55303747704857,-3.5906730265604905,-3.5185459868461986
0.07300000000000001,-3.535809548094033,-3.57216526386547,-3.50287449564353
0.07400000000000001,-3.5188364047027845,-3.553645973741636,-3.487180144356737
0.07500000000000001,-3.5019264141978557,-3.5353305130967985,-3.471513967265752
0.07600000000000001,-3.485216713626383,-3.5168050544787355,-3.4560812921646393
0.07700000000000001,-3.468302413496695,-3.4987419631148313,-3.440535733307801
0.07800000000000001,-3.4518234954654567,-3.480693929173384,-3.425135172359541
0.07900000000000001,-3.435299250518536,-3.462642398829723,-3.4097176852541047
0.08000000000000002,-3.418696947482032,-3.4451941821363734,-3.3942414961058676
0.08100000000000002,-3.40251255904192,-3.427527024541477,-3.3789779848629995
0.08200000000000002,-3.386052371137287,-3.409972547922506,-3.363750418074653
0.08229766542876583,-3.3812947707165404,-3.4049332519384112,-3.3592750216147866
0.083,-3.369887101931644,-3.392977048945471,-3.3485293405776595
0.084,-3.3537709682657604,-3.3758101356436425,-3.3331893900991316
0.085,-3.337816744464729,-3.3587971592125996,-3.317890662932347
0.08600000000000001,-3.3217834795031154,-3.342118346889243,-3.302762092817678
0.08700000000000001,-3.3059028805788886,-3.325798193178828,-3.2876114816161035
0.08800000000000001,-3.290292456637906,-3.3096292991968506,-3.2725335707778394
0.08811479731439766,-3.2883864178272177,-3.307587733599246,-3.2708076569345854
0.08900000000000001,-3.27462382865271,-3.2933546725150933,-3.257459211436849
0.08980164496364623,-3.262239343107595,-3.2805538113286876,-3.2456377138718
0.09000000000000001,-3.2591212327748784,-3.277317469620832,-3.242683318202509
0.09100000000000001,-3.243750353134541,-3.2617421729612754,-3.227442945022128
0.09138426165976109,-3.2378917733585544,-3.2555193768682145,-3.221858419467627
0.09200000000000001,-3.2286133567309743,-3.245905812476649,-3.2128005829034247
0.09291457976248862,-3.2147936404669846,-3.231678054502633,-3.1991474843057914
0.09300000000000001,-3.2134843837849476,-3.230440501641552,-3.1979841891252634
0.09400000000000001,-3.198487251234158,-3.2150240734561777,-3.183047506115493
